year,first_spring_release_id,release_date,ublgbps_pct_potential_gdp,information_status
2013,spring_2014,2014-05-08,0.0134,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2014,spring_2015,2015-05-07,0.5849,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2015,spring_2016,2016-05-03,1.0167,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2016,spring_2017,2017-05-11,-1.1376,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2017,spring_2018,2018-05-03,-1.9853,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2018,spring_2019,2019-05-07,-1.7827,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2019,spring_2020,2020-05-06,-3.0709,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2020,spring_2021,2021-05-12,-6.0969,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2021,spring_2022,2022-05-16,-4.9362,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2022,spring_2023,2023-05-15,-4.6220,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2023,spring_2024,2024-05-15,-4.0095,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2024,spring_2025,2025-05-19,-6.4358,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
2025,spring_2026,2026-06-03,-4.40763,HISTORICAL_ESTIMATE_UNDER_GENERIC_AMECO_HORIZON
