source_id,source_order_number,source_order_issue_date,source_annex,source_row_number,event_type,event_date,instrument_type,instrument_identity,isin,currency,announced_nominal_RON_million,auction_date,sson_date,issue_date,maturity_date,original_maturity,original_maturity_unit,residual_maturity_years,coupon_pct,accrued_interest_RON_per_security,completed_by_cutoff
mof_order_6826_january_2025,6826,2024-12-30,2,2,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-09,BENCHMARK_BOND,RO7EKTXSRHD6,RO7EKTXSRHD6,RON,500.000,2025-01-09,2025-01-10,2025-01-13,2026-01-28,2,years,1.04,6.30,302.09,True
mof_order_6826_january_2025,6826,2024-12-30,2,1,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-09,BENCHMARK_BOND,ROJVM8ELBDU4,ROJVM8ELBDU4,RON,500.000,2025-01-09,2025-01-10,2025-01-13,2029-04-25,5,years,4.28,6.30,226.97,True
mof_order_6826_january_2025,6826,2024-12-30,2,2,BENCHMARK_BOND_SSON,2025-01-10,BENCHMARK_BOND,RO7EKTXSRHD6,RO7EKTXSRHD6,RON,75.000,2025-01-09,2025-01-10,2025-01-13,2026-01-28,2,years,1.04,6.30,302.09,True
mof_order_6826_january_2025,6826,2024-12-30,2,1,BENCHMARK_BOND_SSON,2025-01-10,BENCHMARK_BOND,ROJVM8ELBDU4,ROJVM8ELBDU4,RON,75.000,2025-01-09,2025-01-10,2025-01-13,2029-04-25,5,years,4.28,6.30,226.97,True
mof_order_6826_january_2025,6826,2024-12-30,2,3,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-13,BENCHMARK_BOND,ROCDG04X8WJ7,ROCDG04X8WJ7,RON,500.000,2025-01-13,2025-01-14,2025-01-15,2028-04-26,4,years,3.28,6.30,227.84,True
mof_order_6826_january_2025,6826,2024-12-30,1,1,T_BILL_COMPETITIVE_REFERENCE_AUCTION,2025-01-13,T_BILL_DISCOUNT,ROCNYYYXL9V2,ROCNYYYXL9V2,RON,600.000,2025-01-13,,2025-01-15,2025-06-30,166,days,,,,True
mof_order_6826_january_2025,6826,2024-12-30,2,3,BENCHMARK_BOND_SSON,2025-01-14,BENCHMARK_BOND,ROCDG04X8WJ7,ROCDG04X8WJ7,RON,75.000,2025-01-13,2025-01-14,2025-01-15,2028-04-26,4,years,3.28,6.30,227.84,True
mof_order_6826_january_2025,6826,2024-12-30,2,4,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-16,BENCHMARK_BOND,ROTM7EDD92S2,ROTM7EDD92S2,RON,400.000,2025-01-16,2025-01-17,2025-01-20,2034-07-31,11,years,9.53,7.10,168.26,True
mof_order_6826_january_2025,6826,2024-12-30,2,5,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-16,BENCHMARK_BOND,ROYNCLHRHVV6,ROYNCLHRHVV6,RON,400.000,2025-01-16,2025-01-17,2025-01-20,2030-07-29,6,years,5.52,6.85,164.21,True
mof_order_6826_january_2025,6826,2024-12-30,2,4,BENCHMARK_BOND_SSON,2025-01-17,BENCHMARK_BOND,ROTM7EDD92S2,ROTM7EDD92S2,RON,60.000,2025-01-16,2025-01-17,2025-01-20,2034-07-31,11,years,9.53,7.10,168.26,True
mof_order_6826_january_2025,6826,2024-12-30,2,5,BENCHMARK_BOND_SSON,2025-01-17,BENCHMARK_BOND,ROYNCLHRHVV6,ROYNCLHRHVV6,RON,60.000,2025-01-16,2025-01-17,2025-01-20,2030-07-29,6,years,5.52,6.85,164.21,True
mof_order_6826_january_2025,6826,2024-12-30,2,6,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-20,BENCHMARK_BOND,RO0DU3PR9NF9,RO0DU3PR9NF9,RON,300.000,2025-01-20,2025-01-21,2025-01-22,2038-02-24,15,years,13.10,7.90,359.39,True
mof_order_6826_january_2025,6826,2024-12-30,2,6,BENCHMARK_BOND_SSON,2025-01-21,BENCHMARK_BOND,RO0DU3PR9NF9,RO0DU3PR9NF9,RON,45.000,2025-01-20,2025-01-21,2025-01-22,2038-02-24,15,years,13.10,7.90,359.39,True
mof_order_6826_january_2025,6826,2024-12-30,1,2,T_BILL_COMPETITIVE_REFERENCE_AUCTION,2025-01-23,T_BILL_DISCOUNT,ROCNXXUAHGU5,ROCNXXUAHGU5,RON,800.000,2025-01-23,,2025-01-27,2026-01-26,364,days,,,,True
mof_order_6826_january_2025,6826,2024-12-30,2,7,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-27,BENCHMARK_BOND,RODFIUK7ZV55,RODFIUK7ZV55,RON,400.000,2025-01-27,2025-01-28,2025-01-29,2035-04-25,11,years,10.24,6.75,257.98,True
mof_order_6826_january_2025,6826,2024-12-30,2,7,BENCHMARK_BOND_SSON,2025-01-28,BENCHMARK_BOND,RODFIUK7ZV55,RODFIUK7ZV55,RON,60.000,2025-01-27,2025-01-28,2025-01-29,2035-04-25,11,years,10.24,6.75,257.98,True
mof_order_6826_january_2025,6826,2024-12-30,2,8,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-30,BENCHMARK_BOND,RO52CQA3C829,RO52CQA3C829,RON,300.000,2025-01-30,2025-01-31,2025-02-03,2032-09-29,10,years,7.66,8.25,143.53,True
mof_order_6826_january_2025,6826,2024-12-30,2,9,BENCHMARK_BOND_COMPETITIVE_REFERENCE_AUCTION,2025-01-30,BENCHMARK_BOND,ROXNS8ONSUB3,ROXNS8ONSUB3,RON,500.000,2025-01-30,2025-01-31,2025-02-03,2026-07-27,1,years,1.48,7.20,188.38,True
mof_order_6826_january_2025,6826,2024-12-30,2,8,BENCHMARK_BOND_SSON,2025-01-31,BENCHMARK_BOND,RO52CQA3C829,RO52CQA3C829,RON,45.000,2025-01-30,2025-01-31,2025-02-03,2032-09-29,10,years,7.66,8.25,143.53,True
mof_order_6826_january_2025,6826,2024-12-30,2,9,BENCHMARK_BOND_SSON,2025-01-31,BENCHMARK_BOND,ROXNS8ONSUB3,ROXNS8ONSUB3,RON,75.000,2025-01-30,2025-01-31,2025-02-03,2026-07-27,1,years,1.48,7.20,188.38,True
