period,announced_RON_primary_reference_auction_supply_million,event_count,event_level_complete,monthly_value_source_id,status
2025-01,5200.0,11,True,FROZEN_Q1_COMPETITIVE_SUBSET,EXACT_FINAL_EVENT_COMPLETE_FROM_FROZEN_Q1
2025-02,7200.0,12,True,FROZEN_Q1_COMPETITIVE_SUBSET,EXACT_FINAL_EVENT_COMPLETE_FROM_FROZEN_Q1
2025-03,7400.0,12,True,FROZEN_Q1_COMPETITIVE_SUBSET,EXACT_FINAL_EVENT_COMPLETE_FROM_FROZEN_Q1
2025-04,6900.0,11,True,mof_order_541_april_2025,EXACT_FINAL_EVENT_COMPLETE_RETAINED_BASE_NO_AMENDMENT_IDENTIFIED
2025-05,4000.0,8,True,mof_order_752_may_2025_amendment,EXACT_FINAL_EVENT_COMPLETE_FROM_RETAINED_AMENDMENT_752
2025-06,5100.0,12,True,mof_order_871_june_2025,EXACT_FINAL_EVENT_COMPLETE_RETAINED_BASE_NO_AMENDMENT_IDENTIFIED
2025-07,5800.0,15,True,mof_order_1088_july_2025,EXACT_FINAL_EVENT_COMPLETE_RETAINED_BASE_NO_AMENDMENT_IDENTIFIED
2025-08,,,False,,UNAVAILABLE_BASE_ORDER_1221_RAW_SOURCE_NOT_RETAINED
2025-09,6200.0,15,True,mof_order_1452_september_2025,EXACT_FINAL_EVENT_COMPLETE_RETAINED_BASE_NO_AMENDMENT_IDENTIFIED
2025-10,7000.0,15,True,mof_order_1626_october_2025,EXACT_FINAL_EVENT_COMPLETE_RETAINED_BASE_NO_AMENDMENT_IDENTIFIED
2025-11,5800.0,,False,mof_order_1831_november_2025_amendment,EXACT_FINAL_MONTHLY_TOTAL_FROM_RETAINED_AMENDMENT_1831_EVENT_LEVEL_INCOMPLETE_BASE_1795_UNAVAILABLE
2025-12,,,False,,UNAVAILABLE_FINAL_AMENDMENT_1998_RAW_SOURCE_NOT_RETAINED_BASE_1928_RETAINED
