measure,time_period,rmd_sector,assets_million_ron,liabilities_million_ron,net_million_ron
flow,2014-Q1,H,4670.9,-148.8,4819.7
flow,2014-Q1,C,-1665.9,-1477.2,-188.7
flow,2014-Q1,F,-9176.8,-9579.4,402.6
flow,2014-Q1,G,14351.7,17334.2,-2982.5
flow,2014-Q1,BNR,-3255.1,-3434.9,179.8
flow,2014-Q1,X,-3986.7,-1755.8,-2230.9
flow,2014-Q2,H,2187.2,-157.1,2344.3
flow,2014-Q2,C,-2047.4,-3604.0,1556.6
flow,2014-Q2,F,3562.0,5673.0,-2111.0
flow,2014-Q2,G,5035.4,5862.4,-827.0
flow,2014-Q2,BNR,-3633.3,-3375.1,-258.2
flow,2014-Q2,X,-2724.0,-2019.3,-704.7
flow,2014-Q3,H,-1435.0,-490.9,-944.1
flow,2014-Q3,C,585.1,-5542.7,6127.8
flow,2014-Q3,F,-6022.9,-1418.1,-4604.8
flow,2014-Q3,G,836.9,-2866.2,3703.1
flow,2014-Q3,BNR,-2916.9,-959.4,-1957.5
flow,2014-Q3,X,-6476.6,-4152.2,-2324.4
flow,2014-Q4,H,29380.4,5663.4,23717.0
flow,2014-Q4,C,47249.3,54821.8,-7572.5
flow,2014-Q4,F,8625.2,11073.8,-2448.6
flow,2014-Q4,G,-6119.7,1835.8,-7955.5
flow,2014-Q4,BNR,4221.3,1320.6,2900.7
flow,2014-Q4,X,-2139.1,6501.8,-8640.9
flow,2015-Q1,H,-9576.4,2232.6,-11809.0
flow,2015-Q1,C,-6203.2,-14275.0,8071.8
flow,2015-Q1,F,497.1,-2318.7,2815.8
flow,2015-Q1,G,6406.8,4574.7,1832.1
flow,2015-Q1,BNR,-8753.1,-8897.1,144.0
flow,2015-Q1,X,-6525.8,-5471.0,-1054.8
flow,2015-Q2,H,3697.0,2104.1,1592.9
flow,2015-Q2,C,2806.4,2124.0,682.4
flow,2015-Q2,F,3400.5,6480.1,-3079.6
flow,2015-Q2,G,-3710.2,-5135.3,1425.1
flow,2015-Q2,BNR,-1249.2,-2165.4,916.2
flow,2015-Q2,X,-4759.2,-3222.3,-1536.9
flow,2015-Q3,H,17003.8,-404.8,17408.6
flow,2015-Q3,C,1845.4,17414.4,-15569.0
flow,2015-Q3,F,-1024.0,-867.9,-156.1
flow,2015-Q3,G,6630.6,5296.1,1334.5
flow,2015-Q3,BNR,-3071.9,-3840.0,768.1
flow,2015-Q3,X,-1464.5,2321.5,-3786.0
flow,2015-Q4,H,-11799.5,2926.7,-14726.2
flow,2015-Q4,C,29976.0,-6572.3,36548.3
flow,2015-Q4,F,14119.5,18714.7,-4595.2
flow,2015-Q4,G,-3352.8,4820.5,-8173.3
flow,2015-Q4,BNR,11958.4,12237.2,-278.8
flow,2015-Q4,X,5975.5,14750.2,-8774.7
flow,2016-Q1,H,5696.3,6.7,5689.6
flow,2016-Q1,C,-8419.4,2151.8,-10571.2
flow,2016-Q1,F,-986.0,-4256.1,3270.1
flow,2016-Q1,G,7764.0,11510.4,-3746.4
flow,2016-Q1,BNR,-2210.7,-2909.2,698.5
flow,2016-Q1,X,9890.7,5231.8,4658.9
flow,2016-Q2,H,9287.1,3087.8,6199.3
flow,2016-Q2,C,5407.5,5607.4,-199.9
flow,2016-Q2,F,10437.6,15245.5,-4807.9
flow,2016-Q2,G,-1533.0,1204.4,-2737.4
flow,2016-Q2,BNR,-3160.3,1150.0,-4310.3
flow,2016-Q2,X,4561.7,-1294.9,5856.6
flow,2016-Q3,H,-6390.6,254.9,-6645.5
flow,2016-Q3,C,3846.4,-8076.2,11922.6
flow,2016-Q3,F,-24.2,5178.1,-5202.3
flow,2016-Q3,G,8454.1,8459.2,-5.1
flow,2016-Q3,BNR,7965.2,9232,-1266.8
flow,2016-Q3,X,10462.2,9265.1,1197.1
flow,2016-Q4,H,65890.5,10494.8,55395.7
flow,2016-Q4,C,43891.8,78458.9,-34567.1
flow,2016-Q4,F,13489.2,16578.6,-3089.4
flow,2016-Q4,G,4076.3,16952.7,-12876.4
flow,2016-Q4,BNR,6630.4,6999.7,-369.3
