measure,time_period,legacy_float_system_residual_million_ron,exact_decimal_system_residual_million_ron,exact_decimal_s1_minus_components_million_ron,exact_decimal_s1_plus_s2_million_ron,legacy_float_violation_gt_0_1,exact_decimal_violation_gt_0_1,exact_decimal_on_boundary_eq_0_1
flow,2014-Q1,7.275957614183426e-12,0.0,0.1,0.1,False,False,False
flow,2014-Q2,2.273736754432321e-13,0.0,-0.1,-0.1,False,False,False
flow,2014-Q3,0.1000000000043428,0.1,-0.2,-0.1,True,False,True
flow,2014-Q4,0.1999999999957253,0.2,-0.1,0.1,True,True,False
flow,2015-Q1,-0.1000000000012732,-0.1,0.1,0.0,True,False,True
flow,2015-Q2,0.09999999999809,0.1,0.0,0.1,False,False,True
flow,2015-Q3,0.0999999999953615,0.1,-0.1,0.0,False,False,True
flow,2015-Q4,0.0999999999939973,0.1,-0.3,-0.2,False,False,True
flow,2016-Q1,-0.5000000000009095,-0.5,0.5,0.0,True,True,False
flow,2016-Q2,0.4000000000005457,0.4,-0.3,0.1,True,True,False
flow,2016-Q3,3.637978807091713e-12,0.0,-0.1,-0.1,False,False,False
flow,2016-Q4,0.3999999999996362,0.4,0.0,0.4,True,True,False
flow,2017-Q1,-6.821210263296962e-13,0.0,0.2,0.2,False,False,False
flow,2017-Q2,0.2999999999974534,0.3,-0.1,0.2,True,True,False
flow,2017-Q3,-6.821210263296962e-13,0.0,0.0,0.0,False,False,False
flow,2017-Q4,-2.182787284255028e-11,0.0,-0.1,-0.1,False,False,False
flow,2018-Q1,0.2000000000032855,0.2,-0.2,0.0,True,True,False
flow,2018-Q2,-0.1000000000030922,-0.1,0.1,0.0,True,False,True
flow,2018-Q3,0.2999999999947249,0.3,-0.2,0.1,True,True,False
flow,2018-Q4,0.5000000000075033,0.5,-0.4,0.1,True,True,False
flow,2019-Q1,-2.7284841053187847e-12,0.0,0.1,0.1,False,False,False
flow,2019-Q2,0.2000000000066393,0.2,-0.1,0.1,True,True,False
flow,2019-Q3,-0.1000000000058207,-0.1,0.3,0.2,True,False,True
flow,2019-Q4,-0.4000000000028194,-0.4,0.2,-0.2,True,True,False
flow,2020-Q1,-0.2999999999919964,-0.3,0.4,0.1,True,True,False
flow,2020-Q2,-1.0231815394945445e-12,0.0,0.0,0.0,False,False,False
flow,2020-Q3,0.200000000003456,0.2,-0.2,0.0,True,True,False
flow,2020-Q4,0.4000000000050931,0.4,-0.4,0.0,True,True,False
flow,2021-Q1,1.8189894035458565e-12,0.0,0.0,0.0,False,False,False
flow,2021-Q2,-8.185452315956354e-12,0.0,0.0,0.0,False,False,False
flow,2021-Q3,-5.4569682106375694e-12,0.0,-0.3,-0.3,False,False,False
flow,2021-Q4,-0.3999999999732608,-0.4,0.2,-0.2,True,True,False
flow,2022-Q1,0.2999999999951797,0.3,-0.6,-0.3,True,True,False
flow,2022-Q2,0.1999999999861756,0.2,-0.1,0.1,True,True,False
flow,2022-Q3,0.1000000000043712,0.1,-0.2,-0.1,True,False,True
flow,2022-Q4,1.091393642127514e-11,0.0,-0.1,-0.1,False,False,False
flow,2023-Q1,0.0999999999949068,0.1,-0.1,0.0,False,False,True
flow,2023-Q2,0.2000000000050477,0.2,-0.2,0.0,True,True,False
flow,2023-Q3,0.0999999999912688,0.1,-0.1,0.0,False,False,True
flow,2023-Q4,-0.1999999999989086,-0.2,0.1,-0.1,True,True,False
flow,2024-Q1,0.1999999999970896,0.2,-0.1,0.1,True,True,False
flow,2024-Q2,0.0999999999992837,0.1,-0.1,0.0,False,False,True
flow,2024-Q3,0.1000000000103682,0.1,0.1,0.2,True,False,True
flow,2024-Q4,0.0999999999949068,0.1,-0.2,-0.1,False,False,True
flow,2025-Q1,-1.432454155292362e-11,0.0,0.0,0.0,False,False,False
flow,2025-Q2,-1.8189894035458565e-12,0.0,-0.1,-0.1,False,False,False
flow,2025-Q3,0.1999999999770807,0.2,-0.2,0.0,True,True,False
flow,2025-Q4,-0.099999999977399,-0.1,0.1,0.0,False,False,True
flow,2026-Q1,-0.2000000000007276,-0.2,0.0,-0.2,True,True,False
stock,2014-Q1,-0.0999999999476131,-0.1,-0.1,-0.2,False,False,True
stock,2014-Q2,0.0999999998894054,0.1,-0.1,0.0,False,False,True
stock,2014-Q3,-0.5999999999476131,-0.6,0.6,0.0,True,True,False
stock,2014-Q4,-0.3999999999941792,-0.4,0.1,-0.3,True,True,False
stock,2015-Q1,-8.731149137020111e-11,0.0,0.3,0.3,False,False,False
stock,2015-Q2,0.0999999995983671,0.1,-0.2,-0.1,False,False,True
stock,2015-Q3,-0.2999999997700797,-0.3,0.4,0.1,True,True,False
stock,2015-Q4,0.3000000002793968,0.3,-0.3,0.0,True,True,False
stock,2016-Q1,0.3999999996449332,0.4,-0.4,0.0,True,True,False
stock,2016-Q2,-0.199999999749707,-0.2,0.0,-0.2,True,True,False
stock,2016-Q3,-0.2000000001280568,-0.2,0.1,-0.1,True,True,False
stock,2016-Q4,0.1000000000640284,0.1,-0.2,-0.1,True,False,True
stock,2017-Q1,-0.1999999999825377,-0.2,0.2,0.0,True,True,False
stock,2017-Q2,5.820766091346741e-11,0.0,-0.1,-0.1,False,False,False
stock,2017-Q3,0.1000000000640284,0.1,-0.3,-0.2,True,False,True
stock,2017-Q4,-0.2000000002444721,-0.2,0.1,-0.1,True,True,False
stock,2018-Q1,0.3999999999359716,0.4,-0.1,0.3,True,True,False
stock,2018-Q2,-0.4999999997671693,-0.5,0.5,0.0,True,True,False
stock,2018-Q3,0.1000000001804437,0.1,0.0,0.1,True,False,True
stock,2018-Q4,-0.1000000000349246,-0.1,-0.1,-0.2,True,False,True
stock,2019-Q1,-0.2000000001280568,-0.2,-0.1,-0.3,True,True,False
stock,2019-Q2,-0.1000000002677552,-0.1,0.2,0.1,True,False,True
stock,2019-Q3,0.2000000001280568,0.2,-0.2,0.0,True,True,False
stock,2019-Q4,0.2999999997555278,0.3,0.2,0.5,True,True,False
