measure,time_period,legacy_float_system_residual_million_ron,exact_decimal_system_residual_million_ron
flow,2014-Q3,0.1000000000043428,0.1
flow,2015-Q1,-0.1000000000012732,-0.1
flow,2018-Q2,-0.1000000000030922,-0.1
flow,2019-Q3,-0.1000000000058207,-0.1
flow,2022-Q3,0.1000000000043712,0.1
flow,2024-Q3,0.1000000000103682,0.1
stock,2016-Q4,0.1000000000640284,0.1
stock,2017-Q3,0.1000000000640284,0.1
stock,2018-Q3,0.10000000018044369,0.1
stock,2018-Q4,-0.1000000000349246,-0.1
stock,2019-Q2,-0.1000000002677552,-0.1
stock,2022-Q2,0.1000000000058207,0.1
stock,2022-Q4,0.1000000001513399,0.1
stock,2023-Q1,-0.1000000000058207,-0.1
stock,2024-Q3,-0.10000000084983179,-0.1
stock,2025-Q3,0.1000000000349246,0.1
