measure,time_period,source_sector,accounting_entry,instrument
flow,2014-Q1,S1M,L,F2
flow,2014-Q2,S1M,L,F2
flow,2014-Q3,S1M,L,F2
flow,2014-Q4,S1M,L,F2
flow,2015-Q1,S1M,L,F2
flow,2015-Q2,S1M,L,F2
flow,2015-Q3,S1M,L,F2
flow,2015-Q4,S1M,L,F2
flow,2016-Q1,S1M,L,F2
flow,2016-Q2,S1M,L,F2
flow,2016-Q3,S1M,L,F2
flow,2016-Q4,S1M,L,F2
flow,2017-Q1,S1M,L,F2
flow,2017-Q2,S1M,L,F2
flow,2017-Q3,S1M,L,F2
flow,2017-Q4,S1M,L,F2
flow,2018-Q1,S1M,L,F2
flow,2018-Q2,S1M,L,F2
flow,2018-Q3,S1M,L,F2
flow,2018-Q4,S1M,L,F2
flow,2019-Q1,S1M,L,F2
flow,2019-Q2,S1M,L,F2
flow,2019-Q3,S1M,L,F2
flow,2019-Q4,S1M,L,F2
flow,2020-Q1,S1M,L,F2
flow,2020-Q2,S1M,L,F2
flow,2020-Q3,S1M,L,F2
flow,2020-Q4,S1M,L,F2
flow,2021-Q1,S1M,L,F2
flow,2021-Q2,S1M,L,F2
flow,2021-Q3,S1M,L,F2
flow,2021-Q4,S1M,L,F2
flow,2022-Q1,S1M,L,F2
flow,2022-Q2,S1M,L,F2
flow,2022-Q3,S1M,L,F2
flow,2022-Q4,S1M,L,F2
flow,2023-Q1,S1M,L,F2
flow,2023-Q2,S1M,L,F2
flow,2023-Q3,S1M,L,F2
flow,2023-Q4,S1M,L,F2
flow,2024-Q1,S1M,L,F2
flow,2024-Q2,S1M,L,F2
flow,2024-Q3,S1M,L,F2
flow,2024-Q4,S1M,L,F2
flow,2025-Q1,S1M,L,F2
flow,2025-Q2,S1M,L,F2
flow,2025-Q3,S1M,L,F2
flow,2025-Q4,S1M,L,F2
flow,2026-Q1,S1M,L,F2
stock,2014-Q1,S1M,L,F2
stock,2014-Q2,S1M,L,F2
stock,2014-Q3,S1M,L,F2
stock,2014-Q4,S1M,L,F2
stock,2015-Q1,S1M,L,F2
stock,2015-Q2,S1M,L,F2
stock,2015-Q3,S1M,L,F2
stock,2015-Q4,S1M,L,F2
stock,2016-Q1,S1M,L,F2
stock,2016-Q2,S1M,L,F2
stock,2016-Q3,S1M,L,F2
stock,2016-Q4,S1M,L,F2
stock,2017-Q1,S1M,L,F2
stock,2017-Q2,S1M,L,F2
stock,2017-Q3,S1M,L,F2
stock,2017-Q4,S1M,L,F2
stock,2018-Q1,S1M,L,F2
stock,2018-Q2,S1M,L,F2
stock,2018-Q3,S1M,L,F2
stock,2018-Q4,S1M,L,F2
stock,2019-Q1,S1M,L,F2
stock,2019-Q2,S1M,L,F2
stock,2019-Q3,S1M,L,F2
stock,2019-Q4,S1M,L,F2
stock,2020-Q1,S1M,L,F2
stock,2020-Q2,S1M,L,F2
stock,2020-Q3,S1M,L,F2
stock,2020-Q4,S1M,L,F2
stock,2021-Q1,S1M,L,F2
stock,2021-Q2,S1M,L,F2
stock,2021-Q3,S1M,L,F2
stock,2021-Q4,S1M,L,F2
stock,2022-Q1,S1M,L,F2
stock,2022-Q2,S1M,L,F2
stock,2022-Q3,S1M,L,F2
stock,2022-Q4,S1M,L,F2
stock,2023-Q1,S1M,L,F2
stock,2023-Q2,S1M,L,F2
stock,2023-Q3,S1M,L,F2
stock,2023-Q4,S1M,L,F2
stock,2024-Q1,S1M,L,F2
stock,2024-Q2,S1M,L,F2
stock,2024-Q3,S1M,L,F2
stock,2024-Q4,S1M,L,F2
stock,2025-Q1,S1M,L,F2
stock,2025-Q2,S1M,L,F2
stock,2025-Q3,S1M,L,F2
stock,2025-Q4,S1M,L,F2
stock,2026-Q1,S1M,L,F2
